time,plate_name,well_position,temperature_c,value,row_label,column_label,wavelength
,p1: Em580,B2,22.8,8060815.0,B,2,350
,p1: Em580,B3,22.8,17838730.0,B,3,350
,p1: Em580,B4,22.8,2026658.0,B,4,350
,p1: Em580,B5,22.8,9448.0,B,5,350
,p1: Em580,D1,22.8,1370248.0,D,1,350
,p1: Em580,D2,22.8,1588049.0,D,2,350
,p1: Em580,D3,22.8,1723128.0,D,3,350
,p1: Em580,D4,22.8,4098214.0,D,4,350
,p1: Em580,D5,22.8,1714692.0,D,5,350
,p1: Em580,D6,22.8,1442225.0,D,6,350
,p1: Em580,D7,22.8,1347653.0,D,7,350
,p1: Em580,B1,22.8,94824728.0,B,1,360
,p1: Em580,B2,22.8,9967205.0,B,2,360
,p1: Em580,B3,22.8,12565575.0,B,3,360
,p1: Em580,B4,22.8,2192224.0,B,4,360
,p1: Em580,B5,22.8,4501.0,B,5,360
,p1: Em580,D1,22.8,1549578.0,D,1,360
,p1: Em580,D2,22.8,1745284.0,D,2,360
,p1: Em580,D3,22.8,1922749.0,D,3,360
,p1: Em580,D4,22.8,5697002.0,D,4,360
,p1: Em580,D5,22.8,1873326.0,D,5,360
,p1: Em580,D6,22.8,1584939.0,D,6,360
,p1: Em580,D7,22.8,1492230.0,D,7,360
,p1: Em580,B1,22.8,121813320.0,B,1,370
,p1: Em580,B2,22.8,11310529.0,B,2,370
,p1: Em580,B3,22.8,8659563.0,B,3,370
,p1: Em580,B4,22.8,2154901.0,B,4,370
,p1: Em580,B5,22.8,2565.0,B,5,370
,p1: Em580,D1,22.8,1583048.0,D,1,370
,p1: Em580,D2,22.8,1750086.0,D,2,370
,p1: Em580,D3,22.8,1990848.0,D,3,370
,p1: Em580,D4,22.8,7214114.0,D,4,370
,p1: Em580,D5,22.8,1886723.0,D,5,370
,p1: Em580,D6,22.8,1585857.0,D,6,370
,p1: Em580,D7,22.8,1512210.0,D,7,370
,p1: Em580,B1,22.8,134202784.0,B,1,380
,p1: Em580,B2,22.8,11531355.0,B,2,380
,p1: Em580,B3,22.8,5282996.0,B,3,380
,p1: Em580,B4,22.8,1792733.0,B,4,380
,p1: Em580,B5,22.8,1255.0,B,5,380
,p1: Em580,D1,22.8,1417056.0,D,1,380
,p1: Em580,D2,22.8,1521044.0,D,2,380
,p1: Em580,D3,22.8,1783168.0,D,3,380
,p1: Em580,D4,22.8,7705032.0,D,4,380
,p1: Em580,D5,22.8,1649115.0,D,5,380
