target,lam_p,lam_b,lam_e,trial,round,trials_avail,n_mut,d_ex,d_em,peak_err,nn_dist,logit,is_id,is_bright,scaf_err
mOrange,10.0,40.0,10.0,2,2,12,8,86.89999999999998,61.0,73.94,27.57183265686035,-1.9769,True,False,57.5
mOrange,10.0,40.0,10.0,2,3,12,11,51.80000000000001,44.200000000000045,48.0,26.35671043395996,-2.0832,True,False,57.5
mOrange,10.0,40.0,10.0,3,1,12,9,55.80000000000001,51.19999999999999,53.51,25.58380889892578,-4.3645,True,False,57.5
mOrange,10.0,40.0,10.0,3,2,12,10,59.10000000000002,52.69999999999999,55.91,27.644346237182617,-1.0897,True,False,57.5
mOrange,10.0,40.0,10.0,3,3,12,10,59.80000000000001,53.39999999999998,56.59,28.65869140625,1.5043,True,True,57.5
mOrange,10.0,40.0,10.0,4,1,12,8,63.10000000000002,57.60000000000002,60.38,26.155550003051758,-2.4252,True,False,57.5
mOrange,10.0,40.0,10.0,4,2,12,11,63.10000000000002,55.60000000000002,59.39,32.28512954711914,0.4334,False,True,57.5
mOrange,10.0,40.0,10.0,4,3,12,11,61.30000000000001,52.5,56.93,30.22037124633789,-0.0203,False,False,57.5
mOrange,10.0,40.0,10.0,5,1,12,8,54.5,51.0,52.73,22.83298110961914,-3.904,True,False,57.5
mOrange,10.0,40.0,10.0,5,2,12,9,53.5,50.80000000000001,52.15,30.598739624023438,-4.2882,False,False,57.5
mOrange,10.0,40.0,10.0,5,3,12,9,43.39999999999998,33.200000000000045,38.29,28.84041404724121,0.3191,True,True,57.5
mOrange,10.0,40.0,10.0,6,1,12,10,56.80000000000001,53.30000000000001,55.05,24.02825355529785,-3.6091,True,False,57.5
mOrange,10.0,40.0,10.0,6,2,12,8,53.69999999999999,50.5,52.09,24.584936141967773,-4.1874,True,False,57.5
mOrange,10.0,40.0,10.0,6,3,12,8,59.89999999999998,53.80000000000001,56.83,28.477815628051758,-1.0929,True,False,57.5
mOrange,10.0,40.0,10.0,7,1,12,6,59.69999999999999,54.80000000000001,57.22,19.852928161621094,-4.2801,True,False,57.5
mOrange,10.0,40.0,10.0,7,2,12,8,65.19999999999999,54.69999999999999,59.98,26.363435745239258,1.8636,True,True,57.5
mOrange,10.0,40.0,10.0,7,3,12,10,55.80000000000001,46.5,51.16,29.332386016845703,0.1541,True,True,57.5
mOrange,10.0,40.0,10.0,8,1,12,7,66.60000000000002,59.80000000000001,63.22,29.516620635986328,-1.3844,True,False,57.5
mOrange,10.0,40.0,10.0,8,2,12,10,59.69999999999999,47.299999999999955,53.46,36.16590881347656,-3.1543,False,False,57.5
mOrange,10.0,40.0,10.0,8,3,12,7,46.89999999999998,41.299999999999955,44.1,27.702308654785156,0.1726,True,True,57.5
mOrange,10.0,40.0,10.0,9,1,12,11,61.0,58.30000000000001,59.65,31.604097366333008,-4.632,False,False,57.5
mOrange,10.0,40.0,10.0,9,2,12,12,49.5,47.299999999999955,48.36,22.988571166992188,-3.0259,True,False,57.5
mOrange,10.0,40.0,10.0,9,3,12,14,41.60000000000002,39.0,40.33,33.45558166503906,-3.1455,False,False,57.5
mOrange,10.0,40.0,10.0,10,1,12,11,47.60000000000002,50.39999999999998,48.99,26.3304500579834,-4.2244,True,False,57.5
mOrange,10.0,40.0,10.0,10,2,12,9,49.0,49.700000000000045,49.34,25.95757484436035,-1.7956,True,False,57.5
mOrange,10.0,40.0,10.0,10,3,12,8,58.89999999999998,48.799999999999955,53.84,30.438085556030273,-1.564,False,False,57.5
mOrange,10.0,40.0,10.0,11,1,12,9,52.80000000000001,50.19999999999999,51.52,25.874784469604492,0.7165,True,True,57.5
mOrange,10.0,40.0,10.0,11,2,12,9,47.0,45.39999999999998,46.23,30.79024887084961,-1.1934,False,False,57.5
mOrange,10.0,40.0,10.0,11,3,12,9,54.39999999999998,50.89999999999998,52.61,32.17338943481445,-3.4677,False,False,57.5
EBFP,10.0,40.0,15.0,0,1,12,8,57.69999999999999,41.19999999999999,49.45,28.927701950073242,-3.8957,True,False,87.5
EBFP,10.0,40.0,15.0,0,2,12,7,40.10000000000002,35.89999999999998,37.96,24.291566848754883,1.6782,True,True,87.5
EBFP,10.0,40.0,15.0,0,3,12,6,43.10000000000002,38.30000000000001,40.72,25.018123626708984,-1.2717,True,False,87.5
EBFP,10.0,40.0,15.0,1,1,12,10,45.39999999999998,33.0,39.19,28.26969337463379,1.161,True,True,87.5
EBFP,10.0,40.0,15.0,1,2,12,9,38.19999999999999,42.30000000000001,40.23,27.79850196838379,1.574,True,True,87.5
EBFP,10.0,40.0,15.0,1,3,12,8,37.69999999999999,40.80000000000001,39.23,27.102874755859375,-0.4372,True,False,87.5
EBFP,10.0,40.0,15.0,2,1,12,7,43.80000000000001,36.80000000000001,40.31,25.275808334350586,-0.8948,True,False,87.5
EBFP,10.0,40.0,15.0,2,2,12,9,38.30000000000001,28.0,33.15,26.448213577270508,-0.6479,True,False,87.5
EBFP,10.0,40.0,15.0,3,1,12,8,45.5,38.60000000000002,42.06,26.859451293945312,1.0035,True,True,87.5
EBFP,10.0,40.0,15.0,3,2,12,9,45.89999999999998,41.69999999999999,43.81,25.928356170654297,-1.5187,True,False,87.5
EBFP,10.0,40.0,15.0,3,3,12,10,39.60000000000002,29.399999999999977,34.5,24.312175750732422,0.4796,True,True,87.5
EBFP,10.0,40.0,15.0,4,1,12,7,40.0,35.5,37.71,22.698610305786133,2.804,True,True,87.5
EBFP,10.0,40.0,15.0,4,2,12,8,40.0,30.600000000000023,35.29,27.046396255493164,2.8204,True,True,87.5
EBFP,10.0,40.0,15.0,4,3,12,7,42.19999999999999,32.69999999999999,37.45,26.07573699951172,4.1658,True,True,87.5
EBFP,10.0,40.0,15.0,5,1,12,7,94.80000000000001,56.5,75.66,23.75168228149414,-2.7811,True,False,87.5
EBFP,10.0,40.0,15.0,5,2,12,9,37.0,29.399999999999977,33.19,24.005870819091797,3.1549,True,True,87.5
